id,title,year,relevance,final_inclusion_reason
P023,FraudSMSWalker: Benchmarking Agentic Large Language Models for SMS-to-Webpage Fraud Detection,2026,High,Directly addresses core comparison of LLM Few-Shot vs PLMs for text classification
P026,Agentic Knowledge Distillation: Autonomous Training of Small Language Models for SMS Threat Detection,2026,High,Directly addresses core comparison of LLM Few-Shot vs PLMs for text classification
P029,Leveraging Large Language Models for Cybersecurity: Enhancing SMS Spam Detection with Robust and Context-Aware Text Classification,2025,High,Directly addresses core comparison of LLM Few-Shot vs PLMs for text classification
P033,SecureNet: A Comparative Study of DeBERTa and Large Language Models for Phishing Detection,2024,High,Directly addresses core comparison of LLM Few-Shot vs PLMs for text classification
P034,SMS Spam Detection and Classification to Combat Abuse in Telephone Networks Using Natural Language Processing,2024,High,Directly addresses core comparison of LLM Few-Shot vs PLMs for text classification
P036,ExplainableDetector: Exploring Transformer-based Language Modeling Approach for SMS Spam Detection with Explainability Analysis,2024,High,Directly addresses core comparison of LLM Few-Shot vs PLMs for text classification
P086,PEEK: Phishing Evolution Framework for Phishing Generation and Evolving Pattern Analysis using Large Language Models,2024,High,Directly addresses core comparison of LLM Few-Shot vs PLMs for text classification
P089,Genshin: General Shield for Natural Language Processing with Large Language Models,2024,High,Directly addresses core comparison of LLM Few-Shot vs PLMs for text classification
P091,An Explainable Transformer-based Model for Phishing Email Detection: A Large Language Model Approach,2024,High,Directly addresses core comparison of LLM Few-Shot vs PLMs for text classification
P003,"An Improved Transformer-based Model for Detecting Phishing, Spam, and Ham: A Large Language Model Approach",2023,High,Directly addresses core comparison of LLM Few-Shot vs PLMs for text classification
