id,title,include_status,screening_rationale
P005,CrisisSense-LLM: instruction fine-tuned large language model for multi-label social media text classification in disaster informatics,EXCLUDE,EC-A: Full-text unavailable for download
P013,Sentiment Classification of Gaza War Headlines: A Comparative Analysis of Large Language Models and Arabic Fine-Tuned BERT Models,EXCLUDE,PICO: Population mismatch
P023,FraudSMSWalker: Benchmarking Agentic Large Language Models for SMS-to-Webpage Fraud Detection,INCLUDE,Satisfies Title and Abstract inclusion criteria (IC1-IC4)
P024,A Regime Theory of Controller Class Selection for LLM Action Decisions,EXCLUDE,IC-T: Published in a conference or journal
P025,GuardPhish: Securing Open-Source LLMs from Phishing Abuse,EXCLUDE,IC-T: Published in a conference or journal
P026,Agentic Knowledge Distillation: Autonomous Training of Small Language Models for SMS Threat Detection,INCLUDE,Satisfies Title and Abstract inclusion criteria (IC1-IC4)
P042,Fraud SMS Spam Detection Using Machine Learning,EXCLUDE,"EC-N: No empirical evaluation (vision paper, tutorial)"
P048,CardioLLM: A Fine-Tuned Large Language Model for Cardiac Condition Prediction from Clinical Notes,EXCLUDE,EC-A: Full-text unavailable for download
P049,Semantic information from smashed data: text reconstruction attack on phishing detection models in split learning,EXCLUDE,PICO: Intervention and Comparison mismatch
P050,Prompt Injection as an Architecture-Specific Attack Surface: Comparing LLM-Based and Traditional ML Spam Classifiers Under Adversarial Conditions,EXCLUDE,IC-T: Published in a conference or journal
P051,PIPES: Securing Agent Perception with Provenance and Priors,EXCLUDE,PICO mismatch: Focuses on autonomous agent perception and provenance-informed screening rather than scam message classification.
P052,Synthetic Persona Pretraining: Alignment from Token Zero,EXCLUDE,PICO mismatch: Focuses on LLM alignment and persona pretraining rather than scam message classification.
P053,Adversarial Robustness in Smishing Detection: A Comparative Analysis of Adversarial Fragility in Classical vs. Transformer-Based Detection Systems,EXCLUDE,PICO mismatch: Evaluates fine-tuned transformers and classical models but lacks the required prompt-based LLM (few-shot) intervention.
P054,Resilient Semantic Threat Detection at the Edge: A Knowledge Distillation Framework for SMS Spam Classification,EXCLUDE,PICO mismatch: Focuses on fine-tuning DistilBERT for SMS spam detection without evaluating prompt-based LLM (few-shot) approaches.
P055,"Surviving the Buffalo Blizzard: Online Interactions, Mutual Assistance, and the Power of Weak Ties",EXCLUDE,PICO mismatch: Focuses on social network interactions and mutual aid during a blizzard.
P056,Mind Viruses: Self-Propagating Ideas in Multi-Agent LLM Systems,EXCLUDE,PICO mismatch: Investigates self-propagating ideas in multi-agent systems rather than scam message classification.
P057,A novel hybrid model for identifying the most informative instances for improving text data classification,EXCLUDE,PICO mismatch: Proposes a hybrid active learning framework for general text classification without evaluating prompt-based LLM (few-shot) methods.
P058,SSHafe: A Real-Time SSH Brute Force Attack Detection and Novel Credential Rotation Standard,EXCLUDE,PICO mismatch: Focuses on SSH brute-force attack detection and credential rotation.
P059,"Engineering cyber ranges and security testbeds: a survey of technologies, use cases, and research trends",EXCLUDE,EC-N: No empirical evaluation (survey paper on cyber ranges and testbeds).
P060,TrustPhish-AI: Safety-Gated Source-Aware Evaluation of Three-Class Phishing Detection Under Email-to-SMS Shift,EXCLUDE,PICO mismatch: Evaluates phishing detection using fine-tuned transformers and source-aware augmentation but lacks prompt-based LLM (few-shot) comparison.
P061,"Large Language Models and Social Media Information Integrity: Opportunities, Challenges, and Research Directions",EXCLUDE,EC-N: No empirical evaluation (Survey paper)
P062,Diffusion LLMs as Targets and Adversaries: Mechanistic Safety Exploits,EXCLUDE,IC-T: Published on arXiv (pre-print); PICO: Focuses on safety exploits and jailbreaking rather than scam classification
P063,From Interpretation to Compilation: A Compilation-Based Execution Engine for Semantic Operator Systems,EXCLUDE,IC-T: Published on arXiv (pre-print); PICO: Focuses on execution engines for semantic operators rather than scam classification
P064,IB-RL: Isolated Bilateral Reinforcement Learning for Strategic Dialogue Agents,EXCLUDE,IC-T: Published on arXiv (pre-print); PICO: Focuses on strategic dialogue agents rather than scam classification
P065,A Foundation Model for Multimodal Event Sequences in Financial Applications,EXCLUDE,PICO: Focuses on financial event sequences rather than scam classification
P066,A TRANSFORMER-BASED DISTILBERT FRAMEWORK FOR REAL-TIME DETECTION OF PHISHING ATTACKS IN SMS AND WHATSAPP,EXCLUDE,"EC-N: No empirical evaluation (vision paper, tutorial)"
P067,StageGuard: A hierarchical BERT-BiLSTM framework with stage transition anomaly scoring for fraudulent conversation detection,EXCLUDE,"EC-N: No empirical evaluation (vision paper, tutorial)"
P068,Suprava: AI-Driven Automation for Campus Recruitment,EXCLUDE,PICO: Focuses on recruitment automation rather than scam classification
P069,Lost in Permissions: Exploring the Microsoft 365 App Ecosystem,EXCLUDE,IC-T: Published on arXiv (pre-print); PICO: Focuses on M365 app permissions rather than scam classification
P070,"Romanized Arabic Across Dialects: Views, Usage Patterns, and Linguistic Variation",EXCLUDE,IC-T: Published on arXiv (pre-print); PICO: Focuses on Romanized Arabic linguistics rather than scam classification
P071,LAMDEX: an explainable lightweight Android malware detection system for enhancing IoT APP security,EXCLUDE,PICO mismatch: Focuses on Android malware detection rather than scam message classification.
P072,Development of a Hybrid Artificial Intelligence System to Reduce the Risk of False Positives in Turkish Emails,EXCLUDE,PICO mismatch: Does not evaluate or compare prompt-based LLMs (few-shot/zero-shot) for classification.
P076,The Art of the Jailbreak: Formulating Jailbreak Attacks for LLM Security Beyond Binary Scoring,EXCLUDE,PICO mismatch: Focuses on jailbreak attacks on LLMs rather than scam message classification.
P077,Amnesia: Adversarial Semantic Layer Specific Activation Steering in Large Language Models,EXCLUDE,PICO mismatch: Focuses on adversarial attacks and safety alignment in LLMs rather than scam message classification.
P078,A Lightweight Defense Mechanism against Next Generation of Phishing Emails using Distilled Attention-Augmented BiLSTM,EXCLUDE,PICO mismatch: Does not compare prompt-based LLMs (few-shot) with fine-tuned PLMs for scam classification.
P079,Diagnosing Generalization Failures in Fine-Tuned LLMs: A Cross-Architectural Study on Phishing Detection,EXCLUDE,PICO mismatch: Focuses on diagnosing generalization failures in fine-tuned LLMs rather than comparing prompt-based LLMs (few-shot) with fine-tuned PLMs.
P102,A few-shot learning approach with similarity-based prompt engineering for fine-tuning LLMs in closed-domain conversational AI,EXCLUDE,EC-A: Full-text and abstract are unavailable (N/A abstract).
P103,ContrastShield: A Contrastive Fine-Tuning Approach for Robust Prompt Injection Detection in LLM Pipelines,EXCLUDE,PICO mismatch: Focuses on prompt injection detection rather than scam message classification.
P001,Text sentiment classification optimization based on a fine-tuned BERT and large language model,EXCLUDE,PICO mismatch: Focuses on sentiment classification rather than scam message classification.
