paper_id,query_id,source_db,title,authors,year,venue,url_or_doi,abstract,keywords,v1_decision,v1_reason
nguyen2026an,Q02,Google Scholar,An effective convolutional cross-lingual language model for Vietnamese online social media mining,TM Nguyen; TM Nguyen; TV Huynh,2026,International Journal of …,https://link.springer.com/article/10.1007/s13042-025-02904-6,"Many recent Vietnamese text classification studies have relied on pre-trained transformer- Identification of spam comments: To identify spam comments, we trained our method using",,EXCLUDE,"EC3: Abstract lacks sufficient details on prompt-based LLMs or scam classification performance metrics, focusing generally on cross-lingual language models for social media mining."
nguyen2026building,Q02,Google Scholar,Building a Community-Driven Online Fraud Network Tracing System,DDR Nguyen,2026,,https://elib.vku.udn.vn/bitstream/123456789/7350/1/22SE2B-22IT.B174-Nguyen%20Dang%20Dong%20Rang-DATN.pdf,Google Gemini API: The Large Language Model that synthesises the final natural-language of existing scam warning platforms in Vietnam and the analysis of typical scam scenarios,,EXCLUDE,Pending Title and Abstract screening review
uong2026building,Q02,Google Scholar,Building an Online Fraud Detection Application using Artificial Intelligence,NT Uong,2026,,https://elib.vku.udn.vn/bitstream/123456789/7223/1/22ITe-22IT.EB071-Uong%20Ngoc%20Thanh-DATN.pdf,"security attacks, phishing and SMS phishing have become expensive large language models (LLMs), the project focuses Vietnamese that are common in spam messages in Vietnam)",,EXCLUDE,Pending Title and Abstract screening review
le2026evasion,Q02,Google Scholar,Evasion Under Disguise: Black-Box Attacks on LLM Safety Filters,DH Le; DH Nguyen; SQ Nguyen,2026,… of the 7th International Workshop on …,https://dl.acm.org/doi/abs/10.1145/3810987.3815533,"of the SMS Spam dataset [3], a widely used corpus for evaluating text classification and content The SMS Spam dataset is composed of short, informal mobile messages, making it a",,EXCLUDE,EC1: Focuses on black-box attacks on LLM safety filters rather than scam message classification.
kim2026an,Q02,Google Scholar,An LLM-based Chain-of-Response Counter-Scam System,H Kim; M Gim; D Choi; H Lee; S Bae; MY Kim,2026,arXiv preprint arXiv …,https://arxiv.org/abs/2606.01475,The SCAM MESSAGE CLASSIFICATION task further reveals consistent misclassification of the transnational scamrelated fraud: Challenges and solutions from vietnam’s perspective.,,EXCLUDE,Pending Title and Abstract screening review
cao2026building,Q02,Google Scholar,Building a Phishing URL Warning System Using Explainable Artificial Intelligence (XAI),TTH Cao; TT Tran,2026,,https://elib.vku.udn.vn/bitstream/123456789/7347/1/22SE1B-22IT.B097-Cao%20Thi%20Thu%20Huyen-22SE2B-22IT.B204-Tran%20Thi%20Thuy-DATN.pdf,"Large Language Models (LLMs): Use the inference power of models like GPT-4 to identify real-world problems such as spam filtering, text classification, and phishing detection. The",,EXCLUDE,EC1: Focuses on Phishing URL warning systems rather than semantic text analysis of scam messages.
dam2026distilbert,Q02,Google Scholar,DistilBERT for Efficient and Accurate Email Phishing Detection: A Benchmark Against Machine and Deep Learning Models,ML Dam; HM Chau; NTB Nguyen,2026,Ingenierie des Systemes …,https://www.researchgate.net/profile/Minh-Linh-Dam/publication/404400671_DistilBERT_for_Efficient_and_Accurate_Email_Phishing_Detection_A_Benchmark_Against_Machine_and_Deep_Learning_Models/links/69f89ac9a18fd41a39ee4135/DistilBERT-for-Efficient-and-Accurate-Email-Phishing-Detection-A-Benchmark-Against-Machine-and-Deep-Learning-Models.pdf,"However, detecting phishing at the individual message level models (LLMs) as the core agent for phishing email detection [9] in enhancing phishing detection [10], while LLM-generated",,EXCLUDE,"EC3: Evaluates DistilBERT for email phishing detection generally, lacking specific comparison to prompt-based LLMs versus PhoBERT for Vietnamese scam messages."
pritom2026short,Q02,Google Scholar,Short Message Service (SMS) Phishing Attacks and Defenses: A Systematic Review,MMA Pritom; SM Sanjari; M Mia; AM Shibli,2026,arXiv preprint arXiv …,https://arxiv.org/abs/2604.11429,"For instance, the studies mentioned above did not cover new developments in the application of Large Language Models (LLMs) and Explainable AI (XAI) to enhance smishing",,EXCLUDE,EC4: Systematic literature review rather than a primary study evaluating prompt-based LLMs or fine-tuned PhoBERT on an experimental dataset.
dwight2026ecommerce,Q02,Google Scholar,E-Commerce Phishing Websites in Vietnam: An Exploratory Study,J Dwight,2026,,https://www.researchsquare.com/article/rs-10504449/latest,The authors noted that ML and LLMs have strong potential for URL-based classification but suffer from limitations in reproducibility and fair comparison across models. Linh and Hung,,EXCLUDE,"EC1: Studies focusing solely on malware analysis, or pure URL identification via hash algorithms without semantic text analysis."
hau2026leveraging,Q02,Google Scholar,Leveraging LLMs to Support Malware Analysis from Structured and Semantic Binary Data,NK Hau; TT Anh; TN To; DTT Hien; TH Van,2026,Asian Conference on …,https://link.springer.com/chapter/10.1007/978-981-92-0263-8_35,"In parallel, CTI extraction has become a prominent use case, where LLMs automatically , LLMs have demonstrated utility in text-based threat detection, including phishing, spam,",,EXCLUDE,"EC1: Studies focusing solely on malware analysis, or pure URL identification via hash algorithms without semantic text analysis."
huynh2026uepiq,Q02,Google Scholar,UEP-IQ: A Deployable Multi-modal Phishing Detection Framework,TT Huynh; HP Thanh; GH Le; TND Quoc,2026,… in Engineering Science,https://link.springer.com/chapter/10.1007/978-3-032-21631-1_14,"-profile impersonation campaigns in Vietnam and worldwide On the webpage side, reference-based and LLMdriven -Status, X-Mailer , Precedence, X-Priority, and Message-ID format",,EXCLUDE,"EC4: Purely theoretical or vision papers lacking experimental datasets, practical implementations, or empirical evaluation."
