master_id,title,authors,year,venue,doi,url,contributors,tool_model,dataset_name,sample_size_n,metrics_evaluated,empirical_results,code_url,limitations
M001,Evaluating the efficiency of Vietnamese sms spam detection techniques,VM Tuấn; NX Thắng; TQ Anh,2023,Journal of Science and Technology,N/A,https://isj-test.hypertek.vn/index.php/journal_STIS/article/view/932,minh_quang,PhoBert,Vietnamese SMS messages,N/A,"Accuracy, Precision, Recall, Macro-F1",Evaluates PhoBert contextual representations for Vietnamese SMS spam classification,N/A,N/A
M002,A Mixed-Language Transformer Encoder Architecture for Social Media Phishing: Vietnamese-English Case Study,S Nguyen-Xuan; H Nguyen; GD Le; D Kim,2026,IEEE Access,N/A,https://doi.org/10.1109/ACCESS.2026.3694267,"minh_quang, hai_phuc","PhoBERT-base, XLM-RoBERTa-base, BiLSTM (MLTEA)","Vietnamese Social Comments, SMSSpamCollection, ChongLuaDaoV2 (N=10,000)",N/A,F1-score,"F1-score: 0.94 (clean data $D_0$), 0.92 (obfuscated data $D_{30}$)",N/A,"Structural obfuscation created programmatically may not reflect real-world complexity; performance bottleneck on ultra-short messages; analyzes text only, ignoring technical URL structures."
M003,VNSED: Vietnamese spam email detection using multi deep learning models,NT Cam; NT Binh,2026,Journal of Computer Science and Cybernetics,N/A,https://vjs.ac.vn/jcc/article/view/22392,minh_quang,"PhoBERT, CNN",Vietnamese spam text dataset,N/A,"Macro-F1, Precision, Recall, Accuracy",Combines PhoBERT and CNN for Vietnamese spam text classification,N/A,N/A
M004,Advances in NLP techniques for detection of message-based threats in digital platforms: A systematic review,J Saias,2025,Electronics,N/A,https://www.mdpi.com/2079-9292/14/13/2551,minh_quang,"LLMs with prompts (GPT-4, LLaMA), RF, SVM, Autoencoders",Message-based threat & phishing benchmarks,N/A,"Accuracy, Precision, Recall, Macro-F1",Systematic review of prompt-based LLMs vs ML/DL models for threat detection,N/A,N/A
M005,Assessing the efficiency of transformer models with varying sizes for text classification: A study of rule-based annotation with DistilBERT and other transformers,A Sbei; K ElBedoui; W Barhoumi,2025,Vietnam Journal of Computer Science,N/A,https://www.worldscientific.com/doi/abs/10.1142/S2196888824500209,minh_quang,"LLaMA-3 70B, GPT-4o, DistilBERT",Spam detection dataset,N/A,"Accuracy, F1-score",Rule-based annotation with DistilBERT showed prominent results compared to prompting LLMs,N/A,N/A
M006,Multilingual Financial Fraud Detection Using Machine Learning and Transformer Models: A Bangla-English Study,"Mohammad Shihab Uddin, Md Hasibul Amin, Nusrat Jahan Ema, Bushra Uddin, Tanvir Ahmed, Arif Hassan Zidan",2026,ArXiv,N/A,https://doi.org/10.48550/arXiv.2603.11358v1,hai_phuc,"Linear SVM, Logistic Regression, Multilingual Transformer","Bangla-English financial scams dataset (N ≈ 2,600)",N/A,"Accuracy, Macro-F1, Recall, FPR","Linear SVM - Accuracy: 91.59%, F1: 91.30%. Transformer - Accuracy: 89.49%, F1: 88.88%, Recall: 94.19%",N/A,Multilingual transformer was not fine-tuned with a domain-specific vocabulary; lack of data imbalance handling techniques; linear SVM is vulnerable to text obfuscation attacks.
M007,GRPO-MMS: Reinforcement Learning with a Composite Reward for Multimodal Fraud Message Detection,"Zhengchao Huang, Jiaran Li, Wenming Yang",2026,CrossRef,N/A,https://doi.org/10.2139/ssrn.6946592,hai_phuc,"Qwen2.5-VL-3B-Instruct, Qwen2.5-VL-7B-Instruct","MMS-VQA Multimodal Fraud Dataset (N=2,086 image-text pairs)",N/A,"Binary Accuracy, 8-class Accuracy, Macro-F1","Qwen2.5-VL-7B - Binary Accuracy: 97.46%, 8-class Accuracy: 83.47%, Macro-F1: 66.27%",N/A,Information asymmetry between modalities; synthetic nature of image dataset may cause concept drift; high latency and huge inference cost of MLLMs + CoT reasoning.
M008,Machine Learning-based Approach for Scam Message Detection in Kiswahili Using Natural Language,"Blastus Beatus Lihawa, Othmar Mwambe",2025,CrossRef,N/A,https://doi.org/10.37284/eajit.8.2.4127,hai_phuc,"Swahili-BERT, Bi-LSTM, Random Forest, SVM","Tanzania Kiswahili Scam Dataset (N=5,000; 60% scam, 40% legitimate)",N/A,"Accuracy, Precision, Recall, F1-score","Swahili-BERT - Accuracy: 96.3%, Precision: 96.5%, Recall: 96.0%, F1-score: 96.2%",N/A,"Fails to handle non-standard regional dialects, abbreviations, and teencode/slangs; static model vulnerable to concept drift; does not analyze URLs or images."
M009,Uncovering SMS Spam in Swahili Text Using Deep Learning Approaches,I. S. Mambina; J. D. Ndibwile; D. Uwimpuhwe; K. F. Michael,2024,IEEE Explore,N/A,https://doi.org/10.1109/ACCESS.2024.3365193,hai_phuc,"CNN-LSTM-LSTM, CNN-BiLSTM, fastText","Swahili SMS Dataset (N=63,918 after SMOTE) & English UCI SMS Dataset",N/A,Accuracy,"Accuracy: 99.98% (Swahili), 98.38% (UCI)",N/A,Risk of data leakage/overfitting from applying SMOTE on word embeddings; concept drift due to static data from 2021; poor transferability to other languages.
M010,On-Device Smishing Classifier Resistant to Text Evasion Attack,J. W. Seo; J. S. Lee; H. Kim; J. Lee; S. Han; J. Cho; C. -H. Lee,2024,IEEE Explore,N/A,https://doi.org/10.1109/ACCESS.2024.3349577,hai_phuc,Char-CNN,"KISA SMS Dataset (N=1,204,057; 254,905 smishing, 949,152 normal)",N/A,"Accuracy, F1-score, FPR, FNR, ASR","Accuracy: 0.9959, F1-score: 0.9946, FPR: 0.0041, ASR: reduced to 0.41 (from 0.82)",N/A,Evaluated FPR on surrogate dataset instead of actual user benign messages; vulnerable to white-box attacks due to on-device model extraction; adversarial training does not perfectly eliminate evasion.
M011,Multiclass Text Classification of Indonesian Short Message Service (SMS) Spam using Deep Learning Method and Easy Data Augmentation,"Nurun Latifah, Ramaditia Dwiyansaputra, Gibran Satya Nugraha",2024,CrossRef,N/A,https://doi.org/10.30812/matrik.v23i3.3835,hai_phuc,"IndoBERT-base-p1, IndoBERT-base-p2","Indonesian SMS Spam Dataset (N=2,721 total over 6 categories)",N/A,"Accuracy, F1-score, Precision, Recall","Accuracy: 93% (after EDA), F1-score increased by 12% on average for minority classes",N/A,Performance bottleneck remains for extremely low-sample classes; EDA may inadvertently distort semantic meaning or break scam patterns; small dataset scale limits generalizability.
M012,Enhancing Spam Message Classification and Detection Using Transformer-Based Embedding and Ensemble Learning,"Abdallah Ghourabi, Manar Alohaly",2023,CrossRef,N/A,https://doi.org/10.3390/s23083861,hai_phuc,"GPT-3 Embedding, SVM, KNN, CNN, LightGBM (Weighted Voting Ensemble)","SMS Spam Collection Dataset (N=5,574)",N/A,"Accuracy, Precision, Recall, F1-score","Accuracy: 99.91%, Precision: 100%, Recall: 99.32%, F1-score: 99.66%",N/A,High computational cost and latency due to remote API calls and running 4 classifiers simultaneously; vulnerable to evasion attacks using character obfuscation; outdated dataset (2011).
M013,Evaluation of Machine Learning Algorithms for Message Spam Filtering,"Heyam Ata, Izzat Alsmadi",2023,CrossRef,N/A,https://doi.org/10.2139/ssrn.4518391,hai_phuc,"Multinomial Naive Bayes (MNB), RNN (Keras Sequential), Extra Trees, SVM","Spam.csv (N=5,573)",N/A,Accuracy,"Accuracy: 98.74% (MNB), 98.57% (RNN)",N/A,Ignored data imbalance handling (86.59% Ham vs 13.41% Spam); vulnerable to character substitution evasion attacks; ignores non-text elements like URLs or phone numbers.
M014,QuishingShield: on-device multi-modal detection of quick response phishing,"Shabour Banda, Maronge Musara, Mainford Mutandavari",2026,Computer Science and Information Technologies,N/A,https://doi.org/10.11591/csit.v7i3.p271-290,hoang_tran,"On-Device SLM (Llama-3.2-3B), Vision-Text Multi-Modal Classifier","QR Phishing & Mobile Text Lures Corpus (N=4,200 samples)",N/A,"Accuracy, Macro-F1, Precision, Recall, Latency (ms)","F1: 96.4%, Accuracy: 96.8%, Latency: 45ms",[GitHub Repository](https://doi.org/10.11591/csit.v7i3.p271-290),Requires high-capacity mobile RAM for dual vision-text multi-modal feature extraction.
M015,"Artificial Intelligence for Real-Time Cyber Threat Classification and Emerging Threat Detection: A Structured Review of Methods, Datasets, Challenges, and Research Directions",Jaswanth Syam Sundar Garugu,2026,International Journal for Research in Applied Science and Engineering Technology,N/A,https://doi.org/10.22214/ijraset.2026.84615,hoang_tran,Hoang Tran,N/A,N/A,N/A,N/A,N/A,N/A
